loan_amnt,term,int_rate,installment,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_il_6m,sec_app_chargeoff_within_12_mths,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount
25000, 36 months,0.0749,777.55,Sales Manager,10+ years,MORTGAGE,109000,Not Verified,42339,Fully Paid,n,,,debt_consolidation,Debt consolidation,226xx,VA,26.02,0,37226,1,,,9,0,20862,0.543,19,w,0,0,26224.23,26224.23,25000,1224.23,0,0,0,42614,20807.39,,42826,0,,1,INDIVIDUAL,,,,0,0,305781,0,3,0,1,13,47194,58,0,1,8937,57,38400,1,0,1,2,33976,17538,54.3,0,0,142,168,13,13,3,13,,0,,0,3,3,5,6,7,5,9,3,9,0,0,0,0,100,20,0,0,373572,68056,38400,82117,,,,,N,,,,,,,,,,,,,,
23975, 60 months,0.1989,633.73,Principal,10+ years,RENT,70000,Not Verified,42339,Charged Off,n,,,credit_card,Credit card refinancing,220xx,VA,33.2,0,34851,1,,,10,0,44807,0.949,19,w,0,0,3928.86,3928.86,1478.13,2450.73,0,0,0,42552,633.73,,42767,0,,1,INDIVIDUAL,,,,0,0,57655,1,1,0,1,24,6234,30,1,1,9973,77,47200,0,0,1,2,6406,1249,97.2,0,0,24,240,4,4,3,52,,4,,0,5,7,6,7,1,8,14,7,10,0,0,0,1,100,100,0,0,74779,57655,44400,20800,,,,,N,,,,,,,,,,,,,,
7200, 36 months,0.1148,237.36,Legal Administrative Assistant,10+ years,MORTGAGE,72500,Verified,42339,Current,n,,,home_improvement,Home improvement,300xx,GA,8.47,0,38200,1,,,5,0,5449,0.352,7,w,3707.73,3707.73,4498.36,4498.36,3492.27,1006.09,0,0,0,42948,237.36,42979,42948,0,,1,INDIVIDUAL,,,,0,0,147791,2,1,0,1,23,14807,66,3,3,2445,53,15500,1,0,2,4,29558,10051,35.2,0,0,111,7,2,2,2,2,,0,,0,3,3,3,3,2,3,3,3,5,0,0,0,3,100,0,0,0,189950,20256,15500,22450,,,,,N,,,,,,,,,,,,,,
21875, 36 months,0.1199,726.46,Wire Technician,< 1 year,RENT,47590,Source Verified,42339,Current,n,,,credit_card,Credit card refinancing,347xx,FL,17.76,0,36982,0,,,9,0,24882,0.571,14,w,11307.11,11307.11,13830.2,13830.2,10567.89,3262.31,0,0,0,42948,726.46,42979,42948,0,,1,INDIVIDUAL,,,,0,0,40976,1,1,0,0,55,16094,49,1,2,11556,54,43600,0,1,0,2,5122,10318,70.7,0,0,140,176,6,6,0,6,,,,0,5,5,5,5,3,8,11,5,9,0,0,0,1,100,60,0,0,76326,40976,35200,32726,,,,,N,,,,,,,,,,,,,,
20000, 36 months,0.1288,672.73,President,10+ years,MORTGAGE,145000,Not Verified,42339,Current,n,,,debt_consolidation,Debt consolidation,029xx,RI,12.28,0,38018,0,,,12,0,22551,0.802,21,w,10402.66,10402.66,12746.09,12746.09,9597.34,3148.75,0,0,0,42948,672.73,42979,42948,0,,1,INDIVIDUAL,,,,0,0,429218,2,3,1,2,2,9935,43,2,3,4627,62,28500,1,0,6,5,39020,2822,81.6,0,0,79,142,4,2,5,27,,1,,0,4,6,5,8,5,7,11,6,12,0,0,0,3,100,75,0,0,472759,32486,13500,23259,,,,,N,,,,,,,,,,,,,,
28000, 36 months,0.1344,949.38,Director of Product Development ,2 years,OWN,125000,Source Verified,42339,Current,n,,,debt_consolidation,Debt consolidation,100xx,NY,7.49,0,36647,0,,,6,0,22780,0.631,22,w,14621.67,14621.67,17985.95,17985.95,13378.33,4607.62,0,0,0,42948,949.38,42979,42948,0,,1,INDIVIDUAL,,,,0,0,22780,0,0,0,0,64,0,,0,1,6881,63,36100,0,0,1,1,3797,10607,63.4,0,0,113,187,22,22,0,22,,10,,0,4,4,5,10,3,6,19,5,6,0,0,0,0,100,40,0,0,36100,22780,29000,0,,,,,N,,,,,,,,,,,,,,
20000, 36 months,0.098,643.47,Manager,5 years,RENT,75000,Not Verified,42339,Fully Paid,n,,,debt_consolidation,Debt consolidation,984xx,WA,23.45,0,33725,0,70,,14,0,7558,0.096,26,w,0,0,21918.8165,21918.82,20000,1918.82,0,0,0,42795,13580.93,,42948,0,70,1,INDIVIDUAL,,,,0,0,40090,2,2,2,3,8,32532,84,3,5,1600,34,78900,0,2,0,8,2864,48533,5.9,0,0,159,283,4,4,1,4,,19,,2,5,10,7,8,11,12,13,10,14,0,0,0,5,92.3,0,0,0,117477,40090,51600,38577,,,,,N,,,,,,,,,,,,,,
15000, 60 months,0.1344,344.69,Counselor,4 years,RENT,77213,Source Verified,42339,Fully Paid,n,,,credit_card,Credit card refinancing,347xx,FL,18.17,0,37226,2,,76,17,1,59237,0.258,44,w,0,0,17307.01868,17307.02,15000,2307.02,0,0,0,42795,12793.18,,42795,0,,1,INDIVIDUAL,,,,0,0,155521,2,2,0,0,45,96244,54,2,7,3046,36,80500,0,0,5,7,9720,6962,49.6,0,0,143,168,3,3,1,4,,1,,0,5,8,5,10,12,14,29,8,16,0,0,0,2,100,40,1,0,176208,155521,13800,95668,,,,,N,,,,,,,,,,,,,,
10000, 60 months,0.1797,253.78,Educator ,2 years,MORTGAGE,55000,Not Verified,42339,Current,n,,,credit_card,Credit card refinancing,802xx,CO,35.7,0,36982,0,,,14,0,38623,0.78,28,w,7733.02,7733.02,4796.86,4796.86,2266.98,2529.88,0,0,0,42948,253.78,42979,42948,0,,1,INDIVIDUAL,,,,0,0,288087,2,2,2,2,6,32895,94,1,1,6742,85,49500,0,3,3,4,20578,287,97.4,0,0,106,176,7,6,6,51,,6,,0,3,9,3,4,6,11,16,9,14,0,0,0,4,100,100,0,0,302401,71518,11000,34953,,,,,N,,,,,,,,,,,,,,
15000, 36 months,0.0849,473.45,Senior Associate,6 years,MORTGAGE,110000,Not Verified,42339,Fully Paid,n,,,credit_card,Credit card refinancing,085xx,NJ,13.24,0,37591,0,,71,16,1,19029,0.414,33,w,0,0,15657.93,15657.93,15000,657.93,0,0,0,42552,13308.37,,42948,0,,1,INDIVIDUAL,,,,0,0,327836,0,2,0,1,14,8820,42,3,5,10538,42,46000,2,0,3,7,20490,10457,62.9,0,0,142,150,7,7,4,18,,11,,0,5,8,5,10,3,13,24,8,16,0,0,0,4,100,20,1,0,369112,27849,28200,21124,,,,,N,,,,,,,,,,,,,,
